Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20100183691,EP20100185751,4,-1.849851,51.549143,EP20100183691,-1.319747,51.416719,,,,,
EP20110171600,EP20120164137,7,-1.319747,51.416719,EP20110171600,-1.319747,51.416719,,,,,
EP20110172547,EP20140700311,8,-1.319747,51.416719,EP20110172547,-1.319747,51.416719,,,,,
EP20110193101,EP20130176989,2,-1.319747,51.416719,EP20110193101,-1.319747,51.416719,,,,,
EP20030256275,EP20120192601,6,-0.123615,51.514897,EP20030256275,-1.244169,50.865665,,,,,
EP20150179396,EP20150196447,4,-1.060922,51.297462,EP20150179396,-1.060922,51.297462,,,,,
EP20050252744,EP20120194656,4,-1.045381,53.949613,EP20050252744,-1.045381,53.949613,,,,,
EP20020253327,EP20050252744,2,-1.045381,53.949613,EP20020253327,-1.045381,53.949613,,,,,
EP20020254936,EP20050252744,2,-1.045381,53.949613,EP20020254936,-1.045381,53.949613,,,,,
EP20060255129,EP20170152979,3,-0.979662,53.35545,EP20060255129,-0.979662,53.35545,,,,,
EP20130193713,EP20150275233,3,-0.979662,53.35545,EP20130193713,-0.979662,53.35545,,,,,
EP20130193713,EP20170152979,3,-0.979662,53.35545,EP20130193713,-0.979662,53.35545,,,,,
EP20100196951,EP20110167728,1,-0.951743,52.213885,EP20100196951,-0.951743,52.213885,,,,,
EP20100196951,EP20160199166,7,-0.487355,51.537324,EP20100196951,-0.951743,52.213885,,,,,
EP20060100913,EP20100195987,6,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20060100913,EP20100196007,4,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20060100913,EP20100196015,4,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20060100913,EP20100196023,2,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20060100913,EP20100196028,2,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20060100913,EP20100196034,2,-0.831101,51.298207,EP20060100913,-0.831101,51.298207,,,,,
EP20100150764,EP20110178528,9,-0.757974,51.578828,EP20100150764,-0.757974,51.578828,,,,,
EP20120194331,EP20150154255,5,0.0158109,50.873966,EP20120194331,-0.637854,52.065781,,,,,
EP20010308651,EP20070018181,10,-0.613187,51.240724,EP20010308651,-0.614224,51.240557,,,,,
EP20010308088,EP20070255044,3,-1.817791,52.395771,EP20010308088,-0.409297,51.865325,,,,,
EP20010308088,EP20030254226,5,-0.409297,51.865325,EP20010308088,-0.409297,51.865325,,,,,
EP20010308088,EP20150188502,8,-0.135641,51.498091,EP20010308088,-0.409297,51.865325,,,,,
EP20020254769,EP20050254223,4,-0.135641,51.498091,EP20020254769,-0.409297,51.865325,,,,,
EP20020255184,EP20050253955,3,-1.817791,52.395771,EP20020255184,-0.409297,51.865325,,,,,
EP20030250773,EP20050250256,5,-1.817791,52.395771,EP20030250773,-0.409297,51.865325,,,,,
EP20030250934,EP20040257988,7,-1.817791,52.395771,EP20030250934,-0.409297,51.865325,,,,,
EP20030252385,EP20040257988,7,-1.817791,52.395771,EP20030252385,-0.409297,51.865325,,,,,
EP20030252385,EP20050251843,5,-0.135641,51.498091,EP20030252385,-0.409297,51.865325,,,,,
EP20030251554,EP20160185836,9,-0.135641,51.498091,EP20030251554,-0.409297,51.865325,,,,,
EP20100795033,EP20130165841,10,-0.214538,52.583691,EP20100795033,-0.286193,52.613357,,,,,
EP20100795036,EP20130165844,10,-0.214538,52.583691,EP20100795036,-0.286193,52.613357,,,,,
EP20130165836,EP20130165841,10,-0.214538,52.583691,EP20130165836,-0.214538,52.583691,,,,,
EP20150171173,EP20160205947,4,-0.286193,52.613357,EP20150171173,-0.214538,52.583691,,,,,
EP20070114131,EP20090179090,10,-0.139251,51.512734,EP20070114131,-0.139251,51.512734,,,,,
EP20100175548,EP20110162597,6,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20100175548,EP20110162624,9,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20100175548,EP20130157619,5,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20100175548,EP20130159962,3,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20100175548,EP20130160682,2,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20100175548,EP20130160720,6,-0.138293,51.514679,EP20100175548,-0.138293,51.514679,,,,,
EP20110159968,EP20140163813,7,-0.135641,51.498091,EP20110159968,-0.135641,51.498091,,,,,
EP20010309207,EP20020256447,5,-0.409297,51.865325,EP20010309207,-0.135641,51.498091,,,,,
EP20010309207,EP20020256448,6,-0.409297,51.865325,EP20010309207,-0.135641,51.498091,,,,,
EP20010309207,EP20020256476,8,-0.409297,51.865325,EP20010309207,-0.135641,51.498091,,,,,
EP20020251829,EP20070251769,3,-0.135641,51.498091,EP20020251829,-0.135641,51.498091,,,,,
EP20050251841,EP20070251769,3,-0.135641,51.498091,EP20050251841,-0.135641,51.498091,,,,,
EP20050251841,EP20070251986,3,-0.135641,51.498091,EP20050251841,-0.135641,51.498091,,,,,
